이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
백량금,Ardisia crenata,"spear flower, coral berry, spice berry, Hen's eyes",,자금우과,"한국, 중국, 인도, 말레이시아",,"잎&꽃보기식물, 열매보기식물",관목형,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,"빨강색,노랑색,흰색",거의 없음,"파종,삽목",,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
백정화,Serissa foetida,japanese serissa,,꼭두서니과,아시아 동남부,,잎&꽃보기식물,관목형,,,"상층목,하층목",일반형,,잎 가장자리 무늬,"녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,,중간,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
백화등,Trachelospermum asiaticum var. majus,trachelospermum,"마삭줄, 백화등",협죽도과,"한국, 남부지방",,잎&꽃보기식물,덩굴성,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",봄,"분홍색,흰색",,,강함,삽목,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
벤자민고무나무,Ficus benjamina,Weeping Fig,벤자민고무나무,물밤나무과,히말라야 인도 미얀마 중국남부,꽃말 '변덕쟁이',잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,,,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
벤자민고무나무 '킹',Ficus benjamina 'King',Benjamin's Fig,킹벤자민고무나무,뽕나무과,,꽃말 '변덕쟁이',잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,점무늬,"녹색, 연두색",,,,,거의 없음,삽목,,,필요함,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
벵갈고무나무,Ficus benghalensis,"banyan tree, east Indian fig tree",벵갈고무나무,뽕나무과,,줄기는 회백색으로 가지에서 실타래와 같은 많은 기근을 늘어뜨린다.,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,,,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
병솔나무,Callistemon spp.,bottlebrush,병솔나무,도금양과,호주,,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색","봄,여름","분홍색,빨강색,노랑색,흰색",,,거의 없음,"파종,삽목",,경험자,필요함,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,7℃,40 ~ 70%,,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
보스톤고사리,Nephrolepis exaltata 'Bostoniensis',Boston fern,보스톤고사리,고란초과,열대원산종의 원예품종,공중걸이형,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,"분주,기타",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",빠름,16~20℃,13℃ 이상,70% 이상,"비료를 보통 요구함, 새 잎이 나올 때에는 주 1회 낮은 농도로 액비를 주고 겨울에는 월 1회 정도로 준다",,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"진딧물,응애,깍지벌레,온실가루이"
봉의꼬리,Pteris multifida,"spidar fern, spidar brake, chinese brake","프테리스, 봉의꼬리",고사리과,"한국, 일본, 중국, 인도차이나, 대만",,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"분주,기타",,,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,16~20℃,5℃,70% 이상,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
부겐빌레아,Bougainvillea glabra,"paper flower, Bougainvillea","부갠빌레아, 부겐베리아 (추천유통명: 부겐빌레아)",분꽃과,남아메리카,,잎&꽃보기식물,"관목형, 덩굴성",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을","분홍색,빨강색,노랑색,흰색",,,약함,삽목,,초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),"응애,깍지벌레,온실가루이"
브룬펠시아,Brunfelsia australis Bench,yesterday today and tomorrow,브룬펠시아,가지과,브라질,,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,흰색",,,강함,"삽목,분주",,초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
브리세아,Vriesea,flaming sword,,파인애플과,브라질 동남부,상록다년초,잎&꽃보기식물,로제트형,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","보라색,분홍색,흰색",,,거의 없음,분주,,초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
비젯티접란,Chlorophytum bichetii,"St. Bernard lily, spider plant",,백합과,"가봉, 인도 남부, 중국 남부",,잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,분주,,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
비타툼접란,Chlorophytum comosum var. vittatum,"ribbon plant, spider plant, walking anthericum",,백합과,남아프리가 원산종의 변종,,잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",,줄무늬,"녹색, 연두색,흰색, 크림색",,흰색,,,약함,분주,,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,7℃,40% 미만,비료를 보통 요구함,포름알데히드,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
산세베리아,Sansevieria trifasciata,"mother in law's tongue, snake plant",산세베리아,백합과,남아프리카,"꽃말 '관용' '산세베리아'는 이탈리아 산 세베로의 왕자 라이문도 디 산그로(Raimondo di Sangro, 1710~1771)를 기리기 위해 이름을 붙임",잎보기식물,다육형,,,"중층목,하층목",건조형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색",,,,,약함,"삽목,분주",,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,40 ~ 70%,비료를 거의 요구하지않음,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,총채벌레,개각충"
산세베리아 '골든 하니',Sansevieria trifasciata ‘Golden Hahnii’,golden bird’s nest,,백합과,열대 서부아프리카 원산종의 변종,,잎보기식물,다육형,,,하층목,건조형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 거의 요구하지않음,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
산호수,Ardisia pusilla,Small coralberry,,자금우과,"한국,중국, 일본, 타이완, 인도","꽃말 '용감, 총명' (바다의 보석이라 일컫는 ‘산호’가 있는데, 산호 중에도 으뜸으로 치는 것이 적색산호라 한다. 산호수의 빨간 열매가 이 바다의 산호를 꼭 닮아서 붙여진 이름)","잎&꽃보기식물, 열매보기식물","관목형, 덩굴성",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,빨강색,약함,"파종,삽목,분주",,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",빠름,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
삼색데코라고무나무,Decora elastica 'Decora Tricolor',rubber tree,,뽕나무과,열대아시아 원산종의 변종,,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색,여러색 혼합",,,,,거의 없음,삽목,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
상록넉줄고사리 '후마타',Humata tyermannii (Davallia griffithiana),"squirrel's (bear's, white rabbit's) foot fern",,고사리과,"열대아시아, 말레이시아",흙 위로 올라온 발이 매력적이며 그 발에서 계속 새순을 낸다.,잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,분주",,초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,16~20℃,5℃,70% 이상,비료를 보통 요구함,배수가 잘되는 토양이 좋다.,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,온실가루이"
새우란,Calanthe discolor spp.,Calanthe,"새우란, 새우난초",난초과,"한국, 일본, 중국",,꽃보기식물,로제트형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,노랑색,흰색,혼합색",,,중간,분주,,경험자,필요함,"중간 광도(800~1,500 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,7℃,40 ~ 70%,꽃이 진 후 시비,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
